film_title,category,plot
Ayin,"Korku, Gizem, Gerilim","Film, Graham ailesinin tüyler ürpertici hikayesine odaklanıyor. Ailenin en yaşlı üyesi esrarengiz anneanne Ellen’ın ölümü sonrası kızı Annie, soyağaçlarının uğursuz ve korkunç detaylarını keşfetmeye başlar. Aile üyeleri ardı ardına meşum olaylar yaşamaktadır ve kendilerine miras kalmış bu lanetten kurtulmaya çalıştıkça, kaçınılmaz sona biraz daha yaklaştıklarını fark ederler."
Heart Eyes,"Korku, Komedi, Romantik","İki iş arkadaşı, Sevgililer Günü'nde Seattle'da bir katil tarafından bir sevgili sanılır. Katilden kaçmaya zorlanan ikili, hayatta kalmak için birlikte çabalarken, şehrin romantik manzarasında yollarını bulmak zorunda kalırlar."
Sosyal Ağ,Dram,"2003 yılının Ekim ayında alkollü bir gecede kız arkadaşından yeni ayrılmış olan Mark, üniversitenin bilgisayarlarına sızarak kampüsteki tüm kadınlarla ilgili bilgilerden oluşan bir veri tabanını içeren bir site yaratır, ardından yan yana iki fotoğraf koyarak kullanıcılardan hangisinin “daha ateşli” olduğunu seçmesini ister. Sitenin adını Facemash koyar; site bir anda virüs gibi etrafa yayılarak tüm Harvard sistemini çökertir ve görünürdeki kadın düşmanlığıyla kampüste tartışma yaratır; Mark, Facemash'ı yaratarak kasıtlı olarak güvenliği, telif hakları yasasını ve özel hayatı ihlal etmekle suçlanır. Tam o anda, Facebook'un altyapısını oluşturan iskelet ortaya çıkmıştır. Kısa süre sonra, Mark Harvard'da bir ekrandan diğerine , Ivy League üzerinden Silikon Vadisi'ne ve tüm dünyaya bir yangın misali sıçrayacak olan thefacebook.com sitesini oluşturur..."
Karlar Ülkesi II,"Aile, Animasyon, Macera, Komedi, Fantastik","Elsa neden sihirli güçlerle doğdu? Erindel'in dışındaki ormana ve karanlık denizlere, bilinmeyene, giderken geçmişe dair hangi gerçekler Elsa'yı bekliyor olacak? Cevaplar onu çağırıyor ama aynı zamanda krallığını da tehdit ediyor. Elsa; Anna, Kristoff, Olaf ve Sven ile birlikte, tehlikeli ama macera dolu bir yolculukla karşılaşacak."
The Island,"Aksiyon, Suç, Gerilim","LAPD memuru Mark, erkek kardeşi öldürüldüğünde, büyüdüğü adaya dönmek için şehirden ayrılır. Cevaplar ve nihayetinde intikam peşinde koşarken, kısa süre sonra kendisini ada cennetini ele geçiren yozlaşmış kodamanla kanlı bir savaşın içinde bulur."
Zavallılar,"Bilim-Kurgu, Romantik, Komedi","Genç bir kadın olan Bella trajik bir şekilde ölür. Ancak sıra dışı bir bilim insanı olan Dr. Godwin Baxter beynini, bir bebeğin beyni ile değiştirerek onu hayata döndürür. Bexter’ın koruması altında olan Bella, etrafındaki dünyayı keşfetmek için kendini keşfetme yolculuğuna çıkar. Bu sırada onun yolu, becerikli ve ahlaksız bir avukat olan Duncan Wedderburn ile kesişir ve ikisi kıtalar arası çılgın bir maceraya atılır."
Mucizevi Paris: Gölge Böcek ve Kara Pençe,"Animasyon, Macera, Aksiyon, Fantastik, Aile","Paralel dünyadan mucizevi taşıyıcılar Paris'te ortaya çıkar. Uğur Böceği ve Kara Kedi, tıpkı Uğur Böceği ve Kara Kedi'nin genellikle yaptığı gibi, Kelebeği kovalar gibi görünür fakat onlar için her şey tersine dönmüş durumdadır. Gölge Böcek ve Kara Pençe'nin, Hesperia'nın Mucizesi'ni devralmak istemesi yanlış sebeplerden kaynaklanır. Uğur Böceği ve Kara Kedi, Hesperia'nın Gölge Böcek ve Kara Pençe'yi daha iyi insanlar haline getirmesine yardımcı olabilecek midir?"
The Marvels,"Bilim-Kurgu, Macera, Aksiyon","Carol Danvers yani Captain Marvel, despot Kree tarafından çalınan kimliğini geri kazanır ve Yüce Zeka’dan intikam alır. Ancak yaşanan beklenmedik bir olay sonucu Carol, dengesi bozulmuş bir dünyanın yükünü sırtlanır. Görevi gereği bir Kree devrimcisine bağlı anormal bir solucan deliğine gönderilmesi, hayatını tamamen değiştirecektir. Burada Carol’un güçleri, bir Jersey City hayranı olan Kamala Khan yani Ms. Marvel ve Carol’ın ayrı düştüğü yeğeni S.A.B.E.R. astronotu olan Captain Monica Rambeau ile karışır. Bu sürpriz üçlü birlikte hareket ederek kainatı kurtarmaya çalışacaktır."
Son Resme Kadar,"Romantik, Dram","Sadece bir senelik ömrü kalan 17 yaşındaki Akito, ölümcül bir hastalık yüzünden son altı ayını yaşayan bir kızı mutlu ederek hayatına yeni bir anlam katar."
Bir Kadının Seks Günlüğü,"Dram, Romantik","Orta sınıf bir Fransız kızının seks macerlarının kronolojik şekilde anlatılışı, daha sonra fahişe oluşu ve son olarak nihai kurtuluşu."
Malefiz: Kötülüğün Gücü,"Aile, Fantastik, Macera, Aksiyon",Kral Stefan'ın ölümünün üzerinden beş huzurlu yıl geçmiştir. Malefiz ve Aurora'nın acı ve intikamla başlayan ve nihayetinde sevgiye dönüşen ilişkileri gelişmiştir. Aurora ile Prens Phillip'in evlilik planları ölümlü Ulstead Krallığı ile büyülü Moors Krallığı'na sonsuza kadar huzur getirecektir. Ancak eskilere dayanan insanlar ve perileri arasındaki kin bu birleşmenin önünde büyük bir engel olacaktır. Beklenmeyen bir olay bu iki ırk arasındaki savaşı tekrardan alevlendirerek Malefiz ve Aurora'nın bağlılıklarını test edecek ve gerçekten aile olup olmadıklarını sorgulatacaktır.
After Paramparça,"Romantik, Dram","Hardin tarafından hayal kırıklığına uğratılan Tessa, yine de ondan uzak kalmayı başaramaz. Hardin’i aklından çıkaramasa da onun yapacağı bir hatayı daha kabullenemeyeceği için kendini derslerine, işine vermeye çalışır. Bu sırada Tessa’nın çalışma arkadaşı Trevor, genç kadınla yakından ilgilenir ve Tessa bu ilgilen fazlasıyla memnundur. Tessa’yı kaybettiğini düşünen Hardin, kirli geçmişinden ve travmalarından ancak onun sayesinde kurtulabileceğine inanır ve Tessa’yı geri kazanmak için çabalar."
Karate Kid,"Aksiyon, Macera, Dram, Aile",Babasının ölümünden sonra Daniel annesi ile Newark'tan New Jersey'e taşınmıştır. Kaldıkları yerde kibar Okinawalı Bay Miagi ile tanışacaktır. Okuldan yeni arkadaşı Ali Mills ile kumsalda gezerken onun eski erkek arkadaşı ve Cobra karate okulunun en iyi öğrencisi Johnny ile başını belaya sokar. Bu çekişme ile süregelen olaylar sonucunda bir gün Daniel Johnny ve onun karate okulu arkadaşları tarafından dövülürken Bay Miagi'nin onu kurtarmasına kadar giden bir süreci başlatır. Miagi ilk sefer Daniel'ın onun sensei olması isteğini reddedecektir. Fakat Johnny ve arkadaşlarının intikam isteği üzerine onun hocası olmayı kabul eder.
Felekten Bir Gece Daha,Komedi,"Filmde, Phil, Stu, Alan ve Doug, Stu'nun düğünü için Tayland'a giderler. Las Vegas'taki unutulmaz bekarlığa veda partisinden sonra Stu işini şansa bırakmayıp sakin bir düğün öncesi kahvaltısı yapmayı tercih eder. Ancak her zaman herşey planlandığı gibi gitmeyebilir... Vegas'ta olan Vegas'ta kalabilir ama Bangkok'ta olanlar hayal bile edilemez."
"Red, White & Royal Blue","Komedi, Romantik","New York Times'ın çok satan kitaplarından uyarlanan Kırmızı, Beyaz ve Kraliyet Mavisi, Başkan'ın oğlu Alex ile İngiltere Prensi Henry'nin uzun süredir devam eden kan davasının ABD-İngiltere ilişkilerine zarar verme tehdidini merkeze alıyor. Rakipler sahnelenmiş bir ateşkese zorlandıklarında, buzlu ilişkileri çözülmeye başlar ve aralarındaki sürtüşme hiç beklemedikleri kadar derin bir şeye yol açar."
Beni Adınla Çağır,"Romantik, Dram","1983 yılı yazı sırasında 17 yaşındaki Amerikalı-İtalyan Elio Perlman günlerini ailesinin İtalya'nın kuzeyindeki 17. yüzyıldan kalma villasında klasik müzik yaparak, okuyarak ve arkadaşı Marzia ile flört ederek geçirmektedir. Elio, Greko-Roma kültüründe uzmanlaşmış seçkin bir profesör olan babası ve onu elit kesim meyveleriyle, doğal lezzetlerle şımartan, çevirmen olan annesi Annella ile bir arada olmaktan ziyadesiyle memnundur. Elio'nun olgunluğu ve entelektüel birikimi, onu tam teşekküllü bir yetişkin gibi gösteriyor olsa da özellikle kalpteki konularda onun hakkında hala masum ve biçimlenmemiş olan çok şey vardır. Bir gün, doktorasını sürdüren büyüleyici bir Amerikalı bilim adamı olan Oliver Elio'nun babasına yardım etmek göreviyle yıllık yaz stajyeri olarak villaya gelir. Güneşin ışıltılarının arasında Elio ve Oliver hayatlarını sonsuza dek değiştirecek bir yaz boyunca yeşermekte olan arzunun güzelliğini keşfedeceklerdir."
Zamana Karşı,"Aksiyon, Gerilim, Bilim-Kurgu","25 yaşına gelen insanların, yaşlanmayı durdurmak için var güçleriyle çalışmak zorunda olduğu bir gelecekte geçen filmde, zaman gerçekten para ve güç demek. Will Salas, bir hata sonucu cinayetten hüküm giyer ve hapishaneden kurtulmak için tek şansı gerçek yüzünü gördüğü sistemi çökertmektir. Zira zamanın rahatlıkla satın alınabildiği bu sistemde zenginler sonsuza kadar genç kalarak yaşarken fakir ve güçsüz olan ise ölerek, elenir. Üstelik kendi yaşayamadıkları yıllar başkalarının hayatlarına eklenir. Güçsüz olanlar sadece bir gün daha hayatta kalabilmek için 'zaman' dilenir, ödünç alır hatta bazen zamanı çalar. Will Salas ise bütün bu yozlaşmış sisteme karşı baş kaldırır..."
Küçük Denizkızı,"Animasyon, Aile, Fantastik","Her denizkızının hayali, yakışıklı bir prens ile evlenmek ve normal bir insan gibi hayat sürmektir. Şüphesiz ki sevimli Ariel de, bir gün rüyalarında gördüğü prensle tanışmanın hayallerini kuran bir denizkızı olarak mavi denizlerin serin sularında kulaç atmaktadır. Ancak Ariel, düşlerini gerçeğe dönüştürmek konusunda bir hayli kararlıdır. Bu hayalini gerçekleştirmek uğruna Ursula adlı kötü kalpli bir deniz büyücüsüyle bir anlaşma yapar. Ursula, Ariel'in sesini ister ve bunun karşılığında Ariel'e bir çift bacak verir. Bu sayede Ariel, karaya çıkıp insan Prens Eric ile tanışabilecektir. Kendisine yapılan tüm uyarıları gözardı eden Ariel, kendini bir anda denizin derinliklerinde bulur. Yaptığı anlaşmanın başına açtığı işleri yeni fark edecektir."
Indiana Jones: Kutsal Hazine Avcıları,"Macera, Aksiyon","Amerikan Hükümeti Ark of the Conenant’ı bulması için Arkeolog Dr. Indiana Jones'u görevlendirir. Ark’ta ünlü 10 Emir’in varolduğuna ve kutsal güçler olduğuna inanılmaktadır. Üstelik Hitler’in ajanları da Ark’ın peşindedirler. Jones, eski aşkı Marion’la birlikte Nepal’den Kahire’ye kadar tuzak ve tehlikeyle dolu bir maceraya atılır."
Constantine,"Fantastik, Aksiyon, Korku","Los Angeles'ta özel dedektif olan John Constantine'in doğaüstü olaylardaki başarısı yadsınamaz. Bu başarısının, kelimenin tam anlamıyla cehenneme gitmiş ve geri dönmüş olmasıyla yakından ilgisi vardır. Eliyle tutup gözüyle görmediği hiçbir şeye inanmayan polis memuru Angela Dodson, ikiz kız kardeşi esrarengiz bir şekilde intihar edince Constantine ile iş birliği yapmak zorunda kalır. İkili, cenennem yaratıkları ve iblisleri alt edip Los Angeles'ın karanlık sokaklarında yollarını bulmak için birlikte savaş verirler."
Maske,"Romantik, Komedi, Suç, Fantastik","Stanley Ipkiss, iyi yürekli bir banka memurudur. Bir gün bulduğu antika bir maskeyi takar ve inanılmaz güçlere sahip bir yaratığa dönüşür. Halk arasında Maske diye tanınan kahramanımız, yanlışlıkla Dorian Tyrel adlı bir mafya liderinin hedefi haline gelir."
Loraks,"Animasyon, Aile","Dr. Seuss'un çocuk kitabından esinlenen filmde umudun sonsuz gücünü insanlarla paylaşan orman cini Lorax başrolde...  Animasyon tekniğiyle hazırlanan filmin diğer bir karakteri de hoşlandığı kızın dikkatini çekebilmek için uğraşan bir çocuğun maceraları anlatılıyor. Rüyalarının kızını elde edebilmek için çocuk, önce dünyasını korumak için savaşan sevimli yaramaz Lorax'ın öyküsünü keşfetmeli..."
Madame Web,"Aksiyon, Fantastik","Film, paramedik olarak çalışırken gelecekte olacakları görmeye başlayan Cassandra Webb'in, ilerleyen dönemde örümcek güçleriyle farklı süper kahramanlara evrilecek üç genç kadını, hayatlarını tehdit eden bir tehlikeden korumaya çalışmasını konu ediniyor."
Creed III: Efsane Devam Ediyor,"Dram, Aksiyon","Adonis Creed, sonunda Ivan Drago'nun oğlu Viktor'u yenerek boksun zirvesindeki yerini sağlamlaştırdı. Kariyerinin yanı sıra kız arkadaşı Bianca ile de mutlu bir yaşam süren Adonis’in hayatında her şey yolundadır. Ta ki eski çocukluk arkadaşı Damian'ın yıllar sonra aniden ortaya çıkana kadar. Hapisten yeni çıkan Damian, ringe çıkmak ve Adonis'e karşı kendini kanıtlamak için hazırdır. Ancak her ikisi için de bu düello, sadece sportif bir hesaplaşmadan daha fazlasıdır."
Tembeller Ailesi,"Animasyon, Aile","Korkunç bir fırtına evlerini yerle bir ettikten sonra Laura adındaki tembel hayvan ve çılgın ailesi, işlerini yerine koymak için büyük şehire inip eski paslı seyyar arabaları ile yiyecek satışına başlarlar."
Madagaskar Penguenleri,"Aile, Animasyon, Macera, Komedi","Başarılı ajan doğulmaz, başarılı ajan yumurtadan çıkar! Madagascar'ın muhteşem ajanlarıyla tanışın: Skipper, Kowalski, Rico ve Private. Bu seçkin penguenler, gizli bir örgütün kuvvetlerine katılırlar. Adı Kuzey Rüzgarı olan bu organizasyona lideri yakışıklı ve kuvvetli, adı gizli bir ajan liderlik etmektedir. Bu iki takımın bir an önce güçlerini birleştirip dünyayı yok etmek için hain planlar peşinde olan korkunç Dr. Octavius Brine'ı durdurması gerekmektedir."
Başka Bir Hayatta,"Dram, Romantik","Birbirine derinden bağlı iki çocukluk arkadaşı olan Nora ve Hae Sung, Nora'nın ailesi Güney Kore'den göç edince ayrılmak zorunda kalır. Yirmi yıl sonra, kader ve aşk kavramlarıyla ve hayatı oluşturan seçimlerle yüzleşirken, önemli bir hafta boyunca New York'ta yeniden bir araya gelirler."
İhtiyarlara Yer Yok,"Suç, Dram, Gerilim","Kötü giden bir uyuşturucu işi ve bir çanta dolusu para masum bir avcının, emektar bir şerifin ve acımasız bir kiralık katilin yolunu ıssız Batı Teksas çölünde kesiştirir."
Marslı,"Dram, Macera, Bilim-Kurgu","Mars'a gönderilen astronotlardan Mark Watney, şiddetli bir fırtına sonrası öldü sanılarak ekibi tarafından terk edilir. Ancak Watney hayattadır ve kendisini Mars'ta yapayalnız bulur. Elindeki sınırlı olanaklarla zekasını ve dayanıklılığını kullanarak dünyaya yaşadığına dair bir sinyal gönderir. Bilim adamları ""Marslı""nın eve dönmesi için uğraşırken ekip arkadaşları da kurtarma operasyonunda yer alırlar."
Buz Devri 3: Dinozorların Şafağı,"Animasyon, Komedi, Aile, Macera","Scrat yine asla ele geçiremediği meşe palamudunun, (ve bu sefer belki aşkın da) peşindedir. Manny ve Ellie yavruları minik mamutun doğmasını beklemektedirler. Miskin Sid, bulduğu dinozor yumurtalarından çıkan yavrularla kendine geçici bir aile kurar fakat bu, Sid için pek de iyi olmayacaktır. Kılıç dişli kaplan Diego da arkadaşlarıyla ilişkisinde çok yumuşak bir tavır sergileyip sergilemediğini sorgulamaktadır. Sid’i başına aldığı belalardan kurtarmak için çıktıkları yolculukta kendilerini birden gizemli bir yeraltı dünyasında bulan ekip, karşılaştıkları dinozorlar, aklını kaçırmış gibi duran değişik hayvan türleri, yeni bir bitki örtüsü ve tek gözlü, acımasız dinozor avcısı gelincik Buck ile heyecan dolu ve bir o kadar da eğlenceli bir maceranın ortasında kalırlar."
Şeytanın Avukatı,"Dram, Gizem, Gerilim, Korku","Kevin Lomax, Floridada yaşayan ve hiç dava kaybetmeyen genç bir savunma avukatıdır. Suç ne kadar büyük olursa olsun Lomax, karizmasıyla jüriyi her zaman etkilemeyi başarır ve müvekkilini kurtarır. Lomaxın karısı Mary Ann ile mutlu bir evliliği vardır. Kısaca hayatındaki her şey mükemmeldir. Ta ki bir öğretmenin öğrencisine tecavüzüyle ilgili bir davayı alana kadar. Lomax, jüriyi genç kızın öğretmeni hakkında yalan söyleyebileceğine inandırır, müvekkilinin suçlu olduğunu bildiği halde davayı kazanır. Artık önü açılmıştır. Suçlar kenti olarak bilinen New Yorktaki bir hukuk bürosundan yüksek ücretli bir teklif alır. Teklifi yapan, tüm dünyada davaları ve müşterileri olan büyük hukuk bürosunun kurucusu John Milton dur. Lomax farkında değildir ama cehenneme adım atmak üzeredir."
Cinnet,"Korku, Gerilim","Cinnet, yazar Jack Torrance’ın, kış sezonunda kapalı olan Overlook Oteli’nin bakımını üstlenerek, ailesiyle birlikte otele taşınması sonrasında gelişen metafiziksel olayları konu alır. Jack’in doğaüstü sezgilere sahip olan küçük oğlu, zamanla otelin içerisinde yalnız olmadıklarını, geçmiş ve gelecekten gelen hayaletlerle birlikte yaşadıklarını görür ve ailesini buna inandırmaya çalışır. Aile bir kar fırtınası sebebiyle dağda konuşlanan bu otelde mahsur kaldığındaysa Jack doğaüstü varlıklar tarafından ele geçirilir ve yavaş yavaş aklını kaybetmeye başlar."
